#Título,Descripción
Clasificación económica,"La clasificación económica de un presupuesto nos permite distinguir los gastos e ingresos en función de su naturaleza: ¿es un sueldo o es el recibo de la luz? ¿es una tasa o es una subvención de la Unión Europea? Esta clasificación es una jerarquía de cuatro niveles (capítulos, artículos, conceptos y subconceptos): así, por ejemplo, el Capítulo I de gastos corresponde a ""Gastos de personal"", que incluye como subdivisiones, entre otras, categorías tales como ""Altos cargos"" (Artículo 10) o ""Personal eventual"" (Artículo 11), mientras que el Capítulo II se refiere a ""Gastos corrientes en bienes y servicios"", donde pueden encontrarse los gastos en ""Arrendamientos"" (Artículo 20) o ""Publicaciones"" (Artículo 24) . En el presupuesto de ingresos, el Capítulo I corresponde a los ""Impuestos directos"""
Clasificación funcional,"La clasificación funcional de un presupuesto nos indica cual es el objetivo de un gasto concreto, es decir, distingue entre los gastos relacionados con ""Justicia"" y los que pertenecen a ""Sanidad"". Esta clasificación es una jerarquía con cuatro niveles (Grupo de Funciones, Función, Programa y Subprograma),  pero los dos principales son las Funciones (también denominadas ""Políticas"") y Programas. Existen más de veinte políticas - objetivos de alto nivel como ""Justicia"", ""Sanidad"" o ""Educación"" - y más de setenta programas, que concretan las políticas y se ocupan de, por ejemplo, ""Hospitales y Centros de Salud"", ""Pensiones no contributivas"" o ""Desarrollo Rural"""
Clasificación orgánica,"La clasificación orgánica del presupuesto indica qué organismo es el responsable de cada ingreso o gasto. Podemos distinguir en un primer nivel al Departamento (Educación, Salud,…), y dentro de cada Departamento se contendría el desarrollo orgánico, incluyendo como un componente más los Organismos Autónomos que tuviera adscritos."
Impuesto de Sociedades,"El Impuesto de Sociedades es un impuesto directo aplicado a entidades como empresas, asociaciones o fondos de inversión, y que grava los beneficios obtenidos durante el año fiscal."
Impuesto directo,"Un impuesto directo es aquel que grava las fuentes de ingresos o las propiedades de una persona, como son por ejemplo los impuestos sobre la Renta (IRPF), sucesiones, patrimonio o la contribución."
Impuestos Especiales,"Son aquellos impuestos indirectos que se aplican a productos y consumos específicos, como pueden ser la gasolina o el tabaco."
Impuesto indirecto,"Impuestos indirectos son aquellos que gravan el consumo, bien de forma general (como el IVA), bien para productos específicos como el tabaco o el alcohol."
IRPF,"El IRPF (Impuesto sobre la Renta de las Personas Físicas) es un impuesto personal que grava a las personas físicas residentes en España (es decir, no a las empresas) en función de su renta total durante el año. Es un impuesto progresivo: a mayores ingresos, mayor es el porcentaje a pagar."
IVA,"El Impuesto sobre el Valor Añadido (IVA) es un impuesto al consumo (impuesto indirecto), aplicado a la mayor parte de las operaciones comerciales y profesionales. Es un impuesto pagado solamente por el consumidor final, y neutro para las empresas y profesionales. En función de la naturaleza del producto o servicio se aplican tres tipos distintos: general (21%), reducido (10%) o superreducido (4%)."
Liquidación,"La liquidación de un presupuesto consiste en verificar a lo largo del año, y a posteriori, el volumen de ingresos y gastos en cada uno de los apartados del presupuesto, frente a lo que recoge el presupuesto. En el caso de los ingresos la ejecución del presupuesto se mide por los derechos de cobro, y los gastos se miden por las obligaciones de pago. Estas magnitudes pueden diferir ligeramente de los flujos monetarios de cada ejercicio."
Presupuesto,"El presupuesto de cada ejercicio económico (que coincide con el año natural) recoge de forma ordenada y sistemática los ingresos y gastos que se prevén realizar en ese año, debiendo estar siempre igualadas las previsiones de ingresos y las de gastos. Es el Parlamento de Navarra el que aprueba, con una Ley Foral, el presupuesto para cada año.<br/>El presupuesto está organizado en partidas, que pueden clasificarse de acuerdo a tres criterios diferentes: <ul><li>Según quién lo gasta o ingresa (clasificación orgánica)</li><li>Según en qué se gasta o de qué fuente provienen los ingresos (clasificación económica)</li><li>Según para qué se gasta (clasificación funcional, ésta sólo afecta al presupuesto de gastos)</li></ul>Así como el presupuesto de ingresos recoge la previsión de ingresos que se van a conseguir, el presupuesto de gastos establece el importe máximo de los gastos que se pueden realizar."
Presupuesto consolidado,"A lo largo del ejercicio económico las previsiones de ingresos y gastos pueden sufrir modificaciones, dentro de los límites que establece la Ley Foral de Hacienda Pública. Pueden realizarse transferencias de crédito entre diferentes partidas, o ampliarse la previsión de determinados gastos si se realizan mayores ingresos, o el Parlamento puede, mediante una Ley Foral, introducir cualquier modificación sobre el presupuesto inicial. El resultado de estas modificaciones, que se van produciendo a lo largo del ejercicio, es el Presupuesto Definitivo o Consolidado"
Presupuesto inicial,"El Presupuesto Inicial refleja la situación del presupuesto tal y como aparece en la Ley Foral de Presupuestos para ese ejercicio, aprobada por el Parlamento."